id,title,meetingNumber,content,subjectId,pinned,order,createdAt,updatedAt
wjmfoz2q8aefjqtkva3rtke9,Pertemuan Pertama - Pengenalan Big Data,1,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""attrs"":{""textAlign"":null},""content"":[{""type"":""text"",""text"":""{\""type\"":\""doc\"",\""content\"":[{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""Setiap data yang ada akan terekam dan disimpan.\""},{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""Setiap data yang tersimpan akan dianalisis dan di kelola sehingga membentuk sebuah data baru.\""},{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""Data is the new gold.\""},{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""Contoh penerapan: sebuah pabrik pakaian ingin membuat sebuah pakaian, lalu pabrik tersebut meminta facebook untuk meminta data tentang selera orang dalam berpakaian di suatu tempat.\""},{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""Data Saintis adalah orang yang ahli dalam mengelola dan menganalisis data.\""},{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""Machine Learning belajar dari sebuah data yang ada, baik sumber yang terpercaya maupun tidak.\""}]}]}]}]}]}]}}""}]}]}",u7omusw3j0jib4tj9o8la1h8,0,0,2025-09-03T03:55:22.000Z,2026-02-24T03:03:22.355Z
jogouq2ixadfdi9h8kxgvgor,Pertemuan 2 - Big Data,2,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""attrs"":{""textAlign"":null},""content"":[{""type"":""text"",""text"":""{\""type\"":\""doc\"",\""content\"":[{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""BigData\""}]}]}""}]}]}",u7omusw3j0jib4tj9o8la1h8,0,1,2025-09-10T04:12:34.000Z,2026-02-24T03:03:30.535Z
okkxap67vsseuexu7dwi3n4v,Pertemuan 3 - Fitur,3,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""attrs"":{""textAlign"":null},""content"":[{""type"":""text"",""text"":""{\""type\"":\""doc\"",\""content\"":[{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""Fitur adalah penciri setiap objek\""}]}]}""}]}]}",maiokf3o4yly73asnqngtykv,0,2,2025-09-16T03:35:37.000Z,2025-09-16T03:35:37.000Z
l2mvmygsj47p66qwou7mdhk9,Pertemuan 2 - Presentasi Graf Dalam Matrix,4,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""attrs"":{""textAlign"":null},""content"":[{""type"":""text"",""text"":""{\""type\"":\""doc\"",\""content\"":[{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""Adjacency Matrix = Vertex - Vertex\""},{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""Incidence Matrix = Vertecx- Edge\""},{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""Degree Matrix = Jumlah Edge yang terhubung ke Vertex\""}]}]}]}]}""}]}]}",aewou7fw8of6ibv2vzu5p2ms,0,3,2025-09-19T00:15:59.000Z,2026-02-24T03:03:40.336Z
fd2qol6duxoukzql3j3eiswx,Pertemuan 4 - Klasifikasi,5,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""attrs"":{""textAlign"":null},""content"":[{""type"":""text"",""text"":""{\""type\"":\""doc\"",\""content\"":[{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""Hyperplane adalah perbedaan yang paling mencolok\""}]}]}""}]}]}",maiokf3o4yly73asnqngtykv,0,4,2025-09-23T03:25:30.000Z,2025-09-23T03:25:30.000Z
tzoontblzmaiex81bz6pfrgv,Pertemuan 4,6,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""attrs"":{""textAlign"":null},""content"":[{""type"":""text"",""text"":""{\""type\"":\""doc\"",\""content\"":[{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""derajat adalah garis yang terhubung ke vertex\""}]}]}""}]}]}",aewou7fw8of6ibv2vzu5p2ms,0,5,2025-10-05T08:49:08.000Z,2025-10-05T08:49:08.000Z
cmm00ufie0002m4kl4m74rrle,Pertemuan 1,1,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""attrs"":{""textAlign"":null},""content"":[{""type"":""text"",""text"":""{\""type\"":\""doc\"",\""content\"":[{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""Tugas:\""},{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""Buat \""}]}]}]}""}]}]}",cmm00t6490001m4kl70fgmap5,0,6,2026-02-24T03:04:01.286Z,2026-02-24T04:07:25.661Z
cmm4gbj2r0000x4klx0m3knk2,,1,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""attrs"":{""textAlign"":null}}]}",cmm4g25190000cckl6x04a95b,0,7,2026-02-27T05:28:18.000Z,2026-03-31T03:01:08.085Z
cmm5v4fmt0001cskl4vkwlxif,Pertemuan 2,1,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""attrs"":{""textAlign"":null},""content"":[{""type"":""text"",""text"":""{\""type\"":\""doc\"",\""content\"":[{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""jika korndikat Y di dunia nyata keatas, maka di komputer akan kebawah\""},{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""jika header pada file bmp, maka semua gambar akan rusak. jika hanya sebagian gambar saja yang rusak, berarti terdapat data angka yang bermasalah.\""}]}]}]}""}]}]}",cmm5v4a680000csklypek9mk9,0,8,2026-02-28T05:10:27.365Z,2026-03-10T13:41:25.840Z
cmm5xyrw50001nskl33tzctp2,Pertemuan 2,1,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""attrs"":{""textAlign"":null}}]}",cmm5xyhxt0000nsklv2wsy9rn,0,9,2026-02-28T06:30:02.165Z,2026-03-04T05:09:19.746Z
cmm8ojkr50001zoklvrb9ofqy,Pertemuan 2,1,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""attrs"":{""textAlign"":null},""content"":[{""type"":""text"",""text"":""{\""type\"":\""doc\"",\""content\"":[{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""NLP adalah bahasa manusia yang dikonversi kedalam bahasa komputer.\""},{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""IndoBERT adalah algoritma NLP yang menggunakan bahasa indonesia\""},{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""Sarkasme adalah bahasa yang susah dipahami (sindiran)\""}]}]}]}]}""}]}]}",cmm8ojctv0000zoklh0mss6v7,0,10,2026-03-02T04:29:35.056Z,2026-03-03T02:39:38.601Z
cmm9tyjh90000jwkl412fr8pg,Pertemuan 3,2,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""attrs"":{""textAlign"":null}}]}",cmm5xyhxt0000nsklv2wsy9rn,0,11,2026-03-02T23:48:57.496Z,2026-03-03T00:11:59.980Z
cmm9xwut7000088kllb9pdlu7,Data Processing,3,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""attrs"":{""textAlign"":null},""content"":[{""type"":""text"",""text"":""{\""type\"":\""doc\"",\""content\"":[{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""data mining sudah ada dari puluhan tahun lalu\""},{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null}}]}]}""}]}]}",cmm8ojctv0000zoklh0mss6v7,0,12,2026-03-03T01:39:37.266Z,2026-03-10T13:43:08.780Z
