id,title,description,semesterId,order,pinned,createdAt,updatedAt
u7omusw3j0jib4tj9o8la1h8,Machine Learnig & Big Data,Dosen: Pak Yoga,f7abbc8c08wod9pr61kwe2pe,0,0,2025-09-03T02:43:48.000Z,2025-09-03T02:43:48.000Z
maiokf3o4yly73asnqngtykv,Pengenalan Pola,Dosen: Pak Abdul Rahim | SKS: 3,f7abbc8c08wod9pr61kwe2pe,1,0,2025-09-09T03:21:27.000Z,2025-09-09T03:21:27.000Z
n9qpsze5bsqa023fulsnlokm,Pemrograman Web Lanjut,Dosen: Dr. John Doe | Kode: PWL301 | SKS: 3 | Mata kuliah pemrograman web menggunakan framework modern,izi9ejlni2mp3gsqhtfa3stj,2,0,2025-09-09T05:15:10.000Z,2025-09-09T05:15:10.000Z
osu5ux0f565xtqchf9jg77al,Basis Data Lanjut,Dosen: Prof. Jane Smith | Kode: BDL302 | SKS: 3 | Mata kuliah database design dan optimization,izi9ejlni2mp3gsqhtfa3stj,3,0,2025-09-09T05:15:10.000Z,2025-09-09T05:15:10.000Z
kx4nyup32ppng46o1x905xk8,Rekayasa Perangkat Lunak,Dosen: Dr. Alice Brown | Kode: RPL304 | SKS: 3 | Metodologi pengembangan software,izi9ejlni2mp3gsqhtfa3stj,4,0,2025-09-09T05:15:10.000Z,2025-09-09T05:15:10.000Z
t0of7sq2wy4b4sowbrwspwfr,Sistem Operasi,Dosen: Prof. Charlie Davis | Kode: SO305 | SKS: 3 | Konsep dan implementasi sistem operasi,izi9ejlni2mp3gsqhtfa3stj,5,0,2025-09-09T05:15:10.000Z,2025-09-09T05:15:10.000Z
tj1se71ogylrs2v846ubketi,Sistem Samar dan Sistem Berbasis Pengetahuan,Dosen: Pak Rofil,f7abbc8c08wod9pr61kwe2pe,6,0,2025-09-16T05:03:21.000Z,2025-09-16T05:03:21.000Z
aewou7fw8of6ibv2vzu5p2ms,Teori Graf dan Automata,,f7abbc8c08wod9pr61kwe2pe,7,0,2025-09-19T00:01:06.000Z,2025-09-19T00:01:06.000Z
cmm00t6490001m4kl70fgmap5,Sistem Informasi Geografis,,cmm00sn4z0000m4kl9h5dccuz,0,0,2026-02-24T03:03:02.457Z,2026-02-24T03:03:02.457Z
cmm4g25190000cckl6x04a95b,Technopreneurship,,cmm00sn4z0000m4kl9h5dccuz,1,0,2026-02-27T05:20:59.897Z,2026-04-08T03:43:59.000Z
cmm5v4a680000csklypek9mk9,Visi Komputer,,cmm00sn4z0000m4kl9h5dccuz,2,0,2026-02-28T05:10:20.288Z,2026-02-28T05:10:20.288Z
cmm5xyhxt0000nsklv2wsy9rn,Komputer Grafik,,cmm00sn4z0000m4kl9h5dccuz,3,0,2026-02-28T06:29:49.261Z,2026-02-28T06:29:49.261Z
cmm8ojctv0000zoklh0mss6v7,Natural Language Processing,,cmm00sn4z0000m4kl9h5dccuz,4,0,2026-03-02T04:29:24.781Z,2026-04-08T03:43:59.000Z
cmmbkprov00001kklmdhapbui,Metodologi Penelitian dan Publikasi Ilmiah,,cmm00sn4z0000m4kl9h5dccuz,5,0,2026-03-04T05:05:44.038Z,2026-04-08T03:43:59.000Z
submnpi7gcf0qtkpjy8,Keterampilan Hidup,,cmm00sn4z0000m4kl9h5dccuz,6,0,2026-04-08T03:43:59.000Z,2026-04-08T03:43:59.000Z
