id,title,description,deadline,status,subjectId,order,createdAt,updatedAt
rdvlkvjl5fsrw4vj93g6797h,Modul,Kerjakan semua yang ada di Modul 1 classroom,2025-09-21T00:00:00.000Z,DONE,t0of7sq2wy4b4sowbrwspwfr,0,2025-09-15T05:58:59.000Z,2026-02-28T05:05:56.366Z
kfn8mn7q3vbbcjv02vevgb1m,Fitur,Mencari conton penerapan ekstrasi fitur,2025-09-22T11:36:00.000Z,DONE,maiokf3o4yly73asnqngtykv,1,2025-09-16T03:36:41.000Z,2025-09-24T02:48:29.000Z
o6x6n2smwy2kkt5lqavu06cp,Klasifikasi,cari source code yang berisi klasifikasi apapun menggunakan python,2025-09-24T00:00:00.000Z,DONE,maiokf3o4yly73asnqngtykv,2,2025-09-23T03:26:41.000Z,2026-02-28T05:06:12.175Z
cmm03agx1000014kl979an2sf,Menganalis Pemetaan Kaltim,analisis aplikasi terkait pemetaan untuk membuat sesuatu di wilayah kalimantan timur,2026-03-03T00:00:00.000Z,DONE,cmm00t6490001m4kl70fgmap5,3,2026-02-24T04:12:28.837Z,2026-03-02T15:35:59.469Z
cmm4in25i0000pkklzcy8d2ix,Menyelesaikan Masalah Dengan Teknologi,"masalah apa yang ada dimasyarakat saat ini yang bisa diselesaikan dengan mengembangkan teknologi, apa tantangan, apa yang dilakukan untuk mewujudkan itu, prospek bisnis.",2026-03-06T00:00:00.000Z,DONE,cmm4g25190000cckl6x04a95b,4,2026-02-27T06:33:15.173Z,2026-03-05T15:40:24.859Z
cmma2yirn0000eoklq7apo169,Memetakan Rumah,"cari aplikasi android yang terkait tentang pemeteaan, review apa kelebihannya dan apa kekurangan. lalu gambar rumah dalam bentuk poligon, hitung keliling menggunakan aplikasi tersebut dalam bentuk format json. gambar garis dari rumah ke umkt. beri kordinat apa saja yang ada di sekitar rumah. hasil dari json coba cek di geojson",2026-03-10T00:00:00.000Z,DONE,cmm00t6490001m4kl70fgmap5,5,2026-03-03T04:00:53.123Z,2026-03-10T13:31:30.228Z
cmmbmfsrj00031kkljr2as23n,Buat Aplikasi Penampil Gambar,buat aplikasi untuk menampilkan gambar serta mengeditnya menggunakan python dengan library opencv atau cv,2026-03-11T00:00:00.000Z,DONE,cmm5v4a680000csklypek9mk9,6,2026-03-04T05:53:58.110Z,2026-04-04T02:11:19.719Z
cmmokaiql0000f8klopzsca1r,Implementasi,implementasikan salah dua dari masalah yang dipilih,,TODO,cmm4g25190000cckl6x04a95b,7,2026-03-13T07:14:52.884Z,2026-03-13T07:14:52.884Z
cmne3v79k0001x0kle16ir6br,Cari Kategori Tempat di Overpass Turbo,cari lokasi tempat untuk minimal 5 kategori yang masih satu tema di overpass turbo,2026-04-07T00:00:00.000Z,DONE,cmm00t6490001m4kl70fgmap5,8,2026-03-31T04:17:04.903Z,2026-04-07T04:59:57.928Z
cmno7q96d0001twkl5x87aom2,Membuat Jurnal,"Scrabing, dan exteraksi skripsi",,TODO,cmm8ojctv0000zoklh0mss6v7,9,2026-04-07T06:02:54.325Z,2026-04-14T09:53:07.013Z
cmny44o940001pckl8npi6bxo,Persiapa UTS,"cari data sebanyak mungkin di overpas turbo apa aja (titik, jalan, luas)",,TODO,cmm00t6490001m4kl70fgmap5,10,2026-04-14T04:19:50.339Z,2026-04-14T04:19:50.339Z
